Initializing I2C devices...									
Testing device connections...									
ax	ay	az			0		INC_ax	INC_ay	INC_az
0	129	1919	0	-			-13	-9	30
-13	120	1949	0	-			-17	-36	1
-30	84	1950	0	-			-12	-27	29
-42	57	1979	0	-			-23	-13	6
-65	44	1985	0	-			0	-26	32
-65	18	2017	0	-			6	-19	26
-59	-1	2043	0	-			10	-25	25
-49	-26	2068	0	-			3	-12	21
-46	-38	2089	0	-			13	21	10
-33	-17	2099	0	-			23	-4	7
-10	-21	2106	0	-			7	-23	23
-3	-44	2129	0	-			12	31	15
9	-13	2144	0	-			17	-2	-1
26	-15	2143	0	-			1	7	6
27	-8	2149	0	-			-12	16	0
15	8	2149	0	-			-9	14	16
6	22	2165	0	-			-19	9	19
-13	31	2184	0	-			-3	10	20
-16	41	2204	0	-			-9	-6	-22
-25	35	2182	0	-			-7	-8	17
-32	27	2199	0	-			0	13	-13
-32	40	2186	0	-			13	1	-41
-19	41	2145	0	-			2	-6	2
-17	35	2147	0	-			-4	-8	-27
-21	27	2120	0	-			2	-8	-6
-19	19	2114	0	-			1	11	-42
-18	30	2072	0	-			-9	5	-13
-27	35	2059	0	-			17	5	-18
-10	40	2041	0	-			-22	-18	-16
-32	22	2025	0	-			-6	2	-5
-38	24	2020	0	-			1	1	-10
-37	25	2010	0	-			-11	7	-12
-48	32	1998	0	-			14	10	-11
-34	42	1987	0	-			1	5	7
-33	47	1994	0	-			15	27	8
-18	74	2002	0	-			-3	-7	7
-21	67	2009	0	-			9	22	23
-12	89	2032	0	-			-10	-1	-13
-22	88	2019	0	-			7	21	10
-15	109	2029	0	-			3	28	-28
-12	137	2001	0	-			0	4	37
-12	141	2038	0	-			-7	-14	-43
-19	127	1995	0	-			-14	16	8
-33	143	2003	0	-			7	-18	-2
-26	125	2001	0	-			-16	-22	26
-42	103	2027	0	-			7	-22	-27
-35	81	2000	0	-			-17	-17	6
-52	64	2006	0	-			1	7	-14
-51	71	1992	0	-			1	6	2
-50	77	1994	0	-			9	19	-16
-41	96	1978	0	-			-4	3	-20
-45	99	1958	0	-			8	9	-9
-37	108	1949	0	-			7	11	-21
-30	119	1928	0	-			4	8	13
-26	127	1941	0	-			-1	11	-1
-27	138	1940	0	-			-13	3	-15
-40	141	1925	0	-			-8	12	-7
-48	153	1918	0	-			5	-11	-6
-43	142	1912	0	-			-1	8	-4
-44	150	1908	0	-			-16	-43	-29
-60	107	1879	0	-			17	11	-6
-43	118	1873	0	-			-1	3	26
-44	121	1899	0	-			-11	2	-18
-55	123	1881	0	-			-19	-11	2
-74	112	1883	0	-			-8	-8	30
-82	104	1913	0	-			12	-20	22
-70	84	1935	0	-			0	-26	25
-70	58	1960	0	-			3	-46	42
-67	12	2002	0	-			1	-29	-9
-66	-17	1993	0	-			5	-28	16
-61	-45	2009	0	-			13	-14	37
-48	-59	2046	0	-			46	-49	14
-2	-108	2060	0	-			8	-43	-27
6	-151	2033	0	-			-8	37	-3
-2	-114	2030	0	-			22	21	116
20	-93	2146	0	-			34	-22	41
54	-115	2187	0	-			36	-21	14
90	-136	2201	0	-			5	37	5
95	-99	2206	0	-			16	36	27
111	-63	2233	0	-			16	17	6
127	-46	2239	0	-			-4	33	8
123	-13	2247	0	-			-19	28	12
104	15	2259	0	-			-24	8	18
80	23	2277	0	-			0	-1	-15
80	22	2262	0	-			-9	9	7
71	31	2269	0	-			0	17	8
71	48	2277	0	-			-4	4	-8
67	52	2269	0	-			-1	-1	-10
66	51	2259	0	-			-11	-9	-9
55	42	2250	0	-			0	13	-23
55	55	2227	0	-			-4	0	-3
51	55	2224	0	-			5	13	-30
56	68	2194	0	-			2	12	-25
58	80	2169	0	-			-9	9	-4
49	89	2165	0	-			-21	-11	-21
28	78	2144	0	-			-10	42	-29
18	120	2115	0	-			7	-18	-22
25	102	2093	0	-			-11	-14	-13
14	88	2080	0	-			-20	-1	3
-6	87	2083	0	-			1	5	1
-5	92	2084	0	-			-14	-12	-14
-19	80	2070	0	-			20	-12	0
1	68	2070	0	-			-21	-8	24
-20	60	2094	0	-			8	8	-35
-12	68	2059	0	-			7	10	1
-5	78	2060	0	-			0	11	6
-5	89	2066	0	-			-10	-9	-6
-15	80	2060	0	-			-7	4	21
-22	84	2081	0	-			-12	-9	19
-34	75	2100	0	-			9	-15	-10
-25	60	2090	0	-			-9	14	4
-34	74	2094	0	-			25	9	7
-9	83	2101	0	-			14	10	14
5	93	2115	0	-			0	13	-11
5	106	2104	0	-			25	6	3
30	112	2107	0	-			-5	12	17
25	124	2124	0	-			24	22	-14
49	146	2110	0	-			0	-9	-20
49	137	2090	0	-			0	11	21
49	148	2111	0	-			1	-23	-40
50	125	2071	0	-			-6	6	-26
44	131	2045	0	-			-10	-25	-12
34	106	2033	0	-			-22	-2	-19
12	104	2014	0	-			-6	8	-32
6	112	1982	0	-			1	-29	-25
7	83	1957	0	-			-8	-9	-13
-1	74	1944	0	-			-14	-28	-21
-15	46	1923	0	-			8	-31	-15
-7	15	1908	0	-			2	-23	-6
-5	-8	1902	0	-			-3	-15	-29
-8	-23	1873	0	-			-1	2	-28
-9	-21	1845	0	-			-10	-8	-6
-19	-29	1839	0	-			29	-9	-36
10	-38	1803	0	-			-15	-12	5
-5	-50	1808	0	-			0	13	9
-5	-37	1817	0	-			0	-11	-4
-5	-48	1813	0	-			-14	1	-19
-19	-47	1794	0	-			11	-8	-9
-8	-55	1785	0	-			9	14	-4
1	-41	1781	0	-			-2	15	-10
-1	-26	1771	0	-			-8	-4	-11
-9	-30	1760	0	-			8	22	6
-1	-8	1766	0	-			10	22	-14
9	14	1752	0	-			6	27	-4
15	41	1748	0	-			-19	26	4
-4	67	1752	0	-			14	18	-14
10	85	1738	0	-			3	7	0
13	92	1738	0	-			-31	13	-11
-18	105	1727	0	-			27	-9	-36
9	96	1691	0	-			0	7	-28
9	103	1663	0	-			-10	-2	-20
-1	101	1643	0	-			3	-18	-38
2	83	1605	0	-			-1	6	-3
1	89	1602	0	-			4	-16	-33
5	73	1569	0	-			-15	-4	-19
-10	69	1550	0	-			3	-17	-1
-7	52	1549	0	-			-7	-3	-28
-14	49	1521	0	-			-1	-11	-37
-15	38	1484	0	-			2	-14	-12
-13	24	1472	0	-			-29	2	-12
-42	26	1460	0	-			-12	-2	-20
-54	24	1440	0	-			-22	8	-36
-76	32	1404	0	-			-16	-14	-19
-92	18	1385	0	-			-30	-1	-26
-122	17	1359	0	-			-7	-14	-36
-129	3	1323	0	-			0	13	-4
-129	16	1319	0	-			-4	16	-25
-133	32	1294	0	-			8	-16	-32
-125	16	1262	0	-			29	0	0
-96	16	1262	0	-			20	-25	-26
-76	-9	1236	0	-			-6	-24	-13
-82	-33	1223	0	-			1	2	-27
-81	-31	1196	0	-			48	1	9
-33	-30	1205	0	-			-20	-36	-10
-53	-66	1195	0	-			-19	-5	7
-72	-71	1202	0	-			-31	-11	7
-103	-82	1209	0	-			-15	26	37
-118	-56	1246	0	-			-44	-33	62
-162	-89	1308	0	-			-70	-45	156
-232	-134	1464	0	-			-2741	-4683	3832
-2973	-4817	5296	0	-			6862	3271	1018
3889	-1546	6314	0	-			-5253	80	-5659
-1364	-1466	655	0	-			63	3457	867
-1301	1991	1522	0	-			2644	65	-252
1343	2056	1270	0	-			-1716	-2654	2767
-373	-598	4037	0	-			664	458	-2372
291	-140	1665	0	-			-11	-154	211
280	-294	1876	0	-			-156	-3	526
124	-297	2402	0	-			32	11	-64
156	-286	2338	0	-			-213	-256	-105
-57	-542	2233	0	-			90	31	-568
33	-511	1665	0	-			-173	73	-84
-140	-438	1581	0	-			-80	-107	183
-220	-545	1764	0	-			-79	306	87
-299	-239	1851	0	-			197	210	398
-102	-29	2249	0	-			202	41	93
100	12	2342	0	-			135	-134	-57
235	-122	2285	0	-			5	-122	-111
240	-244	2174	0	-			-52	81	151
188	-163	2325	0	-			-55	-17	-262
133	-180	2063	0	-			-2	72	-12
131	-108	2051	0	-			-86	63	8
45	-45	2059	0	-			-61	-109	-204
-16	-154	1855	0	-			-35	99	101
-51	-55	1956	0	-			-58	42	219
-109	-13	2175	0	-			-109	-65	71
-218	-78	2246	0	-			-40	65	91
-258	-13	2337	0	-			-52	27	144
-310	14	2481	0	-			28	11	67
-282	25	2548	0	-			82	136	118
-200	161	2666	0	-			68	34	87
-132	195	2753	0	-			102	100	59
-30	295	2812	0	-			90	49	33
60	344	2845	0	-			76	5	8
136	349	2853	0	-			47	17	-9
183	366	2844	0	-			65	-19	-14
248	347	2830	0	-			62	1	-41
310	348	2789	0	-			-50	-41	-18
260	307	2771	0	-			35	-51	-46
295	256	2725	0	-			-12	-56	-38
283	200	2687	0	-			-33	-43	-38
250	157	2649	0	-			-2	-51	-54
248	106	2595	0	-			-10	-36	-80
238	70	2515	0	-			17	-44	-32
255	26	2483	0	-			-56	-76	-95
199	-50	2388	0	-			-31	-72	-129
168	-122	2259	0	-			-36	30	-33
132	-92	2226	0	-			-31	-69	-81
101	-161	2145	0	-			-67	5	-112
34	-156	2033	0	-			-33	9	-88
1	-147	1945	0	-			-66	1	-50
-65	-146	1895	0	-			-20	36	-64
-85	-110	1831	0	-			42	21	-86
-43	-89	1745	0	-			-27	21	-73
-70	-68	1672	0	-			21	28	-78
-49	-40	1594	0	-			-18	46	-26
-67	6	1568	0	-			15	-16	-33
-52	-10	1535	0	-			1	7	-87
-51	-3	1448	0	-			-5	46	-3
-56	43	1445	0	-			11	-23	-75
-45	20	1370	0	-			-22	7	-21
-67	27	1349	0	-			39	26	-38
-28	53	1311	0	-			8	-30	-52
-20	23	1259	0	-			-28	-16	-76
-48	7	1183	0	-			-2	10	-25
-50	17	1158	0	-			-4	-4	-23
-54	13	1135	0	-			22	-64	-33
-32	-51	1102	0	-			-3	7	-83
-35	-44	1019	0	-			-49	8	-33
-84	-36	986	0	-			-2	19	22
-86	-17	1008	0	-			28	-49	-21
-58	-66	987	0	-			-37	11	-23
-95	-55	964	0	-			0	17	-73
-95	-38	891	0	-			5	-16	-18
-90	-54	873	0	-			30	-4	-41
-60	-58	832	0	-			-33	3	4
-93	-55	836	0	-			-4	27	-24
-97	-28	812	0	-			-22	6	17
-119	-22	829	0	-			-34	30	-18
-153	8	811	0	-			-5	-9	33
-158	-1	844	0	-			-19	31	13
-177	30	857	0	-			-38	6	17
-215	36	874	0	-			-6	25	17
-221	61	891	0	-			-76	-5	25
-297	56	916	0	-			-58	-31	38
-355	25	954	0	-			-12	-11	20
-367	14	974	0	-			-42	-34	67
-409	-20	1041	0	-			-6	-58	91
-415	-78	1132	0	-			20	-27	45
-395	-105	1177	0	-			20	-24	108
-375	-129	1285	0	-			46	-33	102
-329	-162	1387	0	-			6	-11	85
-323	-173	1472	0	-			58	-8	130
-265	-181	1602	0	-			6312	-8865	9484
